Date,SKU,Style,Units_Sold,Price,Is_Holiday,Is_Promo
2022-05-31,SKU005,Skirt,5,131.02,0,0
2022-06-01,SKU001,Shirt,7,100.81,0,0
2022-06-01,SKU002,Pants,5,120.98,0,0
2022-06-01,SKU003,Jacket,4,201.63,0,0
2022-06-01,SKU004,Dress,5,151.22,0,0
2022-06-01,SKU005,Skirt,3,131.06,0,0
2022-06-02,SKU001,Shirt,7,100.84,0,0
2022-06-02,SKU002,Pants,6,121.01,0,0
2022-06-02,SKU003,Jacket,3,201.68,0,0
2022-06-02,SKU004,Dress,5,151.26,0,0
2022-06-02,SKU005,Skirt,3,131.09,0,0
2022-06-03,SKU001,Shirt,7,100.87,0,0
2022-06-03,SKU002,Pants,6,121.04,0,0
2022-06-03,SKU003,Jacket,3,201.73,0,0
2022-06-03,SKU004,Dress,5,151.3,0,0
2022-06-03,SKU005,Skirt,3,131.13,0,0
2022-06-04,SKU001,Shirt,7,100.89,0,0
2022-06-04,SKU002,Pants,6,121.07,0,0
2022-06-04,SKU003,Jacket,4,201.78,0,0
2022-06-04,SKU004,Dress,5,151.34,0,0
2022-06-04,SKU005,Skirt,4,131.16,0,0
2022-06-05,SKU001,Shirt,8,100.92,0,0
2022-06-05,SKU002,Pants,6,121.1,0,0
2022-06-05,SKU003,Jacket,4,201.84,0,0
2022-06-05,SKU004,Dress,5,151.38,0,0
2022-06-05,SKU005,Skirt,3,131.19,0,0
2022-06-06,SKU001,Shirt,7,100.94,0,0
2022-06-06,SKU002,Pants,5,121.13,0,0
2022-06-06,SKU003,Jacket,4,201.89,0,0
2022-06-06,SKU004,Dress,4,151.42,0,0
2022-06-06,SKU005,Skirt,4,131.23,0,0
2022-06-07,SKU001,Shirt,8,100.97,0,0
2022-06-07,SKU002,Pants,5,121.17,0,0
2022-06-07,SKU003,Jacket,4,201.94,0,0
2022-06-07,SKU004,Dress,5,151.46,0,0
2022-06-07,SKU005,Skirt,3,131.26,0,0
2022-06-08,SKU001,Shirt,7,101.0,0,0
2022-06-08,SKU002,Pants,5,121.2,0,0
2022-06-08,SKU003,Jacket,4,201.99,0,0
2022-06-08,SKU004,Dress,5,151.5,0,0
2022-06-08,SKU005,Skirt,3,131.3,0,0
2022-06-09,SKU001,Shirt,6,101.02,0,0
2022-06-09,SKU002,Pants,5,121.23,0,0
2022-06-09,SKU003,Jacket,3,202.05,0,0
2022-06-09,SKU004,Dress,4,151.54,0,0
2022-06-09,SKU005,Skirt,3,131.33,0,0
2022-06-10,SKU001,Shirt,8,101.05,0,0
2022-06-10,SKU002,Pants,5,121.26,0,0
2022-06-10,SKU003,Jacket,4,202.1,0,0
2022-06-10,SKU004,Dress,4,151.57,0,0
2022-06-10,SKU005,Skirt,3,131.36,0,0
2022-06-11,SKU001,Shirt,6,101.08,0,0
2022-06-11,SKU002,Pants,5,121.29,0,0
2022-06-11,SKU003,Jacket,5,202.15,0,0
2022-06-11,SKU004,Dress,6,151.61,0,0
2022-06-11,SKU005,Skirt,3,131.4,0,0
2022-06-12,SKU001,Shirt,7,101.1,0,0
2022-06-12,SKU002,Pants,6,121.32,0,0
2022-06-12,SKU003,Jacket,5,202.21,0,0
2022-06-12,SKU004,Dress,5,151.65,0,0
2022-06-12,SKU005,Skirt,3,131.43,0,0
2022-06-13,SKU001,Shirt,6,101.13,0,0
2022-06-13,SKU002,Pants,5,121.35,0,0
2022-06-13,SKU003,Jacket,3,202.26,0,0
2022-06-13,SKU004,Dress,4,151.69,0,0
2022-06-13,SKU005,Skirt,3,131.47,0,0
2022-06-14,SKU001,Shirt,7,101.16,0,0
2022-06-14,SKU002,Pants,5,121.39,0,0
2022-06-14,SKU003,Jacket,3,202.31,0,0
2022-06-14,SKU004,Dress,4,151.73,0,0
2022-06-14,SKU005,Skirt,4,131.5,0,0
2022-06-15,SKU001,Shirt,8,101.18,0,0
2022-06-15,SKU002,Pants,5,121.42,0,0
2022-06-15,SKU003,Jacket,4,202.36,0,0
2022-06-15,SKU004,Dress,3,151.77,0,0
2022-06-15,SKU005,Skirt,3,131.54,0,0
2022-06-16,SKU001,Shirt,7,101.21,0,0
2022-06-16,SKU002,Pants,5,121.45,0,0
2022-06-16,SKU003,Jacket,3,202.42,0,0
2022-06-16,SKU004,Dress,5,151.81,0,0
2022-06-16,SKU005,Skirt,3,131.57,0,0
2022-06-17,SKU001,Shirt,6,101.23,0,0
2022-06-17,SKU002,Pants,5,121.48,0,0
2022-06-17,SKU003,Jacket,3,202.47,0,0
2022-06-17,SKU004,Dress,4,151.85,0,0
2022-06-17,SKU005,Skirt,2,131.61,0,0
2022-06-18,SKU001,Shirt,7,101.26,0,0
2022-06-18,SKU002,Pants,6,121.51,0,0
2022-06-18,SKU003,Jacket,4,202.52,0,0
2022-06-18,SKU004,Dress,5,151.89,0,0
2022-06-18,SKU005,Skirt,3,131.64,0,0
2022-06-19,SKU001,Shirt,8,101.29,0,0
2022-06-19,SKU002,Pants,7,121.55,0,0
2022-06-19,SKU003,Jacket,4,202.58,0,0
2022-06-19,SKU004,Dress,4,151.93,0,0
2022-06-19,SKU005,Skirt,3,131.67,0,0
2022-06-20,SKU001,Shirt,7,101.31,0,0
2022-06-20,SKU002,Pants,6,121.58,0,0
2022-06-20,SKU003,Jacket,4,202.63,0,0
2022-06-20,SKU004,Dress,5,151.97,0,0
2022-06-20,SKU005,Skirt,3,131.71,0,0
2022-06-21,SKU001,Shirt,6,101.34,0,0
2022-06-21,SKU002,Pants,6,121.61,0,0
2022-06-21,SKU003,Jacket,4,202.68,0,0
2022-06-21,SKU004,Dress,5,152.01,0,0
2022-06-21,SKU005,Skirt,2,131.74,0,0
2022-06-22,SKU001,Shirt,7,101.37,0,0
2022-06-22,SKU002,Pants,5,121.64,0,0
2022-06-22,SKU003,Jacket,4,202.73,0,0
2022-06-22,SKU004,Dress,4,152.05,0,0
2022-06-22,SKU005,Skirt,3,131.78,0,0
2022-06-23,SKU001,Shirt,7,101.39,0,0
2022-06-23,SKU002,Pants,5,121.67,0,0
2022-06-23,SKU003,Jacket,3,202.79,0,0
2022-06-23,SKU004,Dress,4,152.09,0,0
2022-06-23,SKU005,Skirt,3,131.81,0,0
2022-06-24,SKU001,Shirt,6,101.42,0,0
2022-06-24,SKU002,Pants,5,121.7,0,0
2022-06-24,SKU003,Jacket,4,202.84,0,0
2022-06-24,SKU004,Dress,5,152.13,0,0
2022-06-24,SKU005,Skirt,4,131.85,0,0
2022-06-25,SKU001,Shirt,7,101.45,0,0
2022-06-25,SKU002,Pants,6,121.74,0,0
2022-06-25,SKU003,Jacket,4,202.89,0,0
2022-06-25,SKU004,Dress,5,152.17,0,0
2022-06-25,SKU005,Skirt,4,131.88,0,0
2022-06-26,SKU001,Shirt,7,101.47,0,0
2022-06-26,SKU002,Pants,5,121.77,0,0
2022-06-26,SKU003,Jacket,4,202.95,0,0
2022-06-26,SKU004,Dress,5,152.21,0,0
2022-06-26,SKU005,Skirt,3,131.91,0,0
2022-06-27,SKU001,Shirt,4,101.5,0,0
2022-06-27,SKU002,Pants,5,121.8,0,0
2022-06-27,SKU003,Jacket,4,203.0,0,0
2022-06-27,SKU004,Dress,5,152.25,0,0
2022-06-27,SKU005,Skirt,3,131.95,0,0
2022-06-28,SKU001,Shirt,7,101.53,0,0
2022-06-28,SKU002,Pants,4,121.83,0,0
2022-06-28,SKU003,Jacket,4,203.05,0,0
2022-06-28,SKU004,Dress,4,152.29,0,0
2022-06-28,SKU005,Skirt,3,131.98,0,0
2022-06-29,SKU001,Shirt,7,101.55,0,0
2022-06-29,SKU002,Pants,6,121.86,0,0
2022-06-29,SKU003,Jacket,4,203.11,0,0
2022-06-29,SKU004,Dress,4,152.33,0,0
2022-06-29,SKU005,Skirt,3,132.02,0,0
2022-06-30,SKU001,Shirt,7,101.58,0,0
2022-06-30,SKU002,Pants,5,121.89,0,0
2022-06-30,SKU003,Jacket,4,203.16,0,0
2022-06-30,SKU004,Dress,4,152.37,0,0
2022-06-30,SKU005,Skirt,3,132.05,0,0
2022-07-01,SKU001,Shirt,5,101.61,0,0
2022-07-01,SKU002,Pants,5,121.93,0,0
2022-07-01,SKU003,Jacket,4,203.21,0,0
2022-07-01,SKU004,Dress,5,152.41,0,0
2022-07-01,SKU005,Skirt,3,132.09,0,0
2022-07-02,SKU001,Shirt,9,101.63,0,0
2022-07-02,SKU002,Pants,6,121.96,0,0
2022-07-02,SKU003,Jacket,5,203.26,0,0
2022-07-02,SKU004,Dress,5,152.45,0,0
2022-07-02,SKU005,Skirt,4,132.12,0,0
2022-07-03,SKU001,Shirt,7,101.66,0,0
2022-07-03,SKU002,Pants,6,121.99,0,0
2022-07-03,SKU003,Jacket,4,203.32,0,0
2022-07-03,SKU004,Dress,4,152.49,0,0
2022-07-03,SKU005,Skirt,4,132.16,0,0
2022-07-04,SKU001,Shirt,7,101.69,0,0
2022-07-04,SKU002,Pants,5,122.02,0,0
2022-07-04,SKU003,Jacket,4,203.37,0,0
2022-07-04,SKU004,Dress,4,152.53,0,0
2022-07-04,SKU005,Skirt,3,132.19,0,0
2022-07-05,SKU001,Shirt,7,101.71,0,0
2022-07-05,SKU002,Pants,6,122.05,0,0
2022-07-05,SKU003,Jacket,3,203.42,0,0
2022-07-05,SKU004,Dress,4,152.57,0,0
2022-07-05,SKU005,Skirt,3,132.23,0,0
2022-07-06,SKU001,Shirt,7,101.74,0,0
2022-07-06,SKU002,Pants,5,122.09,0,0
2022-07-06,SKU003,Jacket,4,203.48,0,0
2022-07-06,SKU004,Dress,5,152.61,0,0
2022-07-06,SKU005,Skirt,3,132.26,0,0
2022-07-07,SKU001,Shirt,7,101.76,0,0
2022-07-07,SKU002,Pants,5,122.12,0,0
2022-07-07,SKU003,Jacket,4,203.53,0,0
2022-07-07,SKU004,Dress,4,152.65,0,0
2022-07-07,SKU005,Skirt,3,132.29,0,0
2022-07-08,SKU001,Shirt,5,101.79,0,0
2022-07-08,SKU002,Pants,5,122.15,0,0
2022-07-08,SKU003,Jacket,4,203.58,0,0
2022-07-08,SKU004,Dress,5,152.69,0,0
2022-07-08,SKU005,Skirt,3,132.33,0,0
2022-07-09,SKU001,Shirt,8,101.82,0,0
2022-07-09,SKU002,Pants,7,122.18,0,0
2022-07-09,SKU003,Jacket,5,203.64,0,0
2022-07-09,SKU004,Dress,5,152.73,0,0
2022-07-09,SKU005,Skirt,3,132.36,0,0
2022-07-10,SKU001,Shirt,8,101.84,0,0
2022-07-10,SKU002,Pants,6,122.21,0,0
2022-07-10,SKU003,Jacket,5,203.69,0,0
2022-07-10,SKU004,Dress,5,152.77,0,0
2022-07-10,SKU005,Skirt,4,132.4,0,0
2022-07-11,SKU001,Shirt,7,101.87,0,0
2022-07-11,SKU002,Pants,5,122.25,0,0
2022-07-11,SKU003,Jacket,3,203.74,0,0
2022-07-11,SKU004,Dress,4,152.81,0,0
2022-07-11,SKU005,Skirt,3,132.43,0,0
2022-07-12,SKU001,Shirt,8,101.9,0,0
2022-07-12,SKU002,Pants,5,122.28,0,0
2022-07-12,SKU003,Jacket,3,203.8,0,0
2022-07-12,SKU004,Dress,4,152.85,0,0
2022-07-12,SKU005,Skirt,3,132.47,0,0
2022-07-13,SKU001,Shirt,8,101.92,0,0
2022-07-13,SKU002,Pants,5,122.31,0,0
2022-07-13,SKU003,Jacket,4,203.85,0,0
2022-07-13,SKU004,Dress,4,152.89,0,0
2022-07-13,SKU005,Skirt,3,132.5,0,0
2022-07-14,SKU001,Shirt,7,101.95,0,0
2022-07-14,SKU002,Pants,4,122.34,0,0
2022-07-14,SKU003,Jacket,4,203.9,0,0
2022-07-14,SKU004,Dress,4,152.93,0,0
2022-07-14,SKU005,Skirt,3,132.54,0,0
2022-07-15,SKU001,Shirt,7,101.98,0,0
2022-07-15,SKU002,Pants,6,122.37,0,0
2022-07-15,SKU003,Jacket,4,203.96,0,0
2022-07-15,SKU004,Dress,5,152.97,0,0
2022-07-15,SKU005,Skirt,3,132.57,0,0
2022-07-16,SKU001,Shirt,8,102.0,0,0
2022-07-16,SKU002,Pants,6,122.41,0,0
2022-07-16,SKU003,Jacket,5,204.01,0,0
2022-07-16,SKU004,Dress,6,153.01,0,0
2022-07-16,SKU005,Skirt,4,132.61,0,0
2022-07-17,SKU001,Shirt,8,102.03,0,0
2022-07-17,SKU002,Pants,7,122.44,0,0
2022-07-17,SKU003,Jacket,4,204.06,0,0
2022-07-17,SKU004,Dress,5,153.05,0,0
2022-07-17,SKU005,Skirt,3,132.64,0,0
2022-07-18,SKU001,Shirt,7,102.06,0,0
2022-07-18,SKU002,Pants,5,122.47,0,0
2022-07-18,SKU003,Jacket,4,204.12,0,0
2022-07-18,SKU004,Dress,5,153.09,0,0
2022-07-18,SKU005,Skirt,3,132.67,0,0
2022-07-19,SKU001,Shirt,7,102.08,0,0
2022-07-19,SKU002,Pants,6,122.5,0,0
2022-07-19,SKU003,Jacket,4,204.17,0,0
2022-07-19,SKU004,Dress,5,153.13,0,0
2022-07-19,SKU005,Skirt,3,132.71,0,0
2022-07-20,SKU001,Shirt,8,102.11,0,0
2022-07-20,SKU002,Pants,5,122.53,0,0
2022-07-20,SKU003,Jacket,4,204.22,0,0
2022-07-20,SKU004,Dress,5,153.17,0,0
2022-07-20,SKU005,Skirt,3,132.74,0,0
2022-07-21,SKU001,Shirt,7,102.14,0,0
2022-07-21,SKU002,Pants,5,122.57,0,0
2022-07-21,SKU003,Jacket,4,204.28,0,0
2022-07-21,SKU004,Dress,4,153.21,0,0
2022-07-21,SKU005,Skirt,3,132.78,0,0
2022-07-22,SKU001,Shirt,7,102.16,0,0
2022-07-22,SKU002,Pants,5,122.6,0,0
2022-07-22,SKU003,Jacket,4,204.33,0,0
2022-07-22,SKU004,Dress,4,153.25,0,0
2022-07-22,SKU005,Skirt,3,132.81,0,0
2022-07-23,SKU001,Shirt,8,102.19,0,0
2022-07-23,SKU002,Pants,5,122.63,0,0
2022-07-23,SKU003,Jacket,5,204.38,0,0
2022-07-23,SKU004,Dress,5,153.29,0,0
2022-07-23,SKU005,Skirt,4,132.85,0,0
2022-07-24,SKU001,Shirt,6,102.22,0,0
2022-07-24,SKU002,Pants,5,122.66,0,0
2022-07-24,SKU003,Jacket,5,204.44,0,0
2022-07-24,SKU004,Dress,5,153.33,0,0
2022-07-24,SKU005,Skirt,3,132.88,0,0
2022-07-25,SKU001,Shirt,7,102.24,0,0
2022-07-25,SKU002,Pants,6,122.69,0,0
2022-07-25,SKU003,Jacket,3,204.49,0,0
2022-07-25,SKU004,Dress,5,153.37,0,0
2022-07-25,SKU005,Skirt,4,132.92,0,0
2022-07-26,SKU001,Shirt,7,102.27,0,0
2022-07-26,SKU002,Pants,5,122.73,0,0
2022-07-26,SKU003,Jacket,4,204.54,0,0
2022-07-26,SKU004,Dress,4,153.41,0,0
2022-07-26,SKU005,Skirt,3,132.95,0,0
2022-07-27,SKU001,Shirt,7,102.3,0,0
2022-07-27,SKU002,Pants,5,122.76,0,0
2022-07-27,SKU003,Jacket,4,204.6,0,0
2022-07-27,SKU004,Dress,5,153.45,0,0
2022-07-27,SKU005,Skirt,3,132.99,0,0
2022-07-28,SKU001,Shirt,7,102.32,0,0
2022-07-28,SKU002,Pants,6,122.79,0,0
2022-07-28,SKU003,Jacket,4,204.65,0,0
2022-07-28,SKU004,Dress,5,153.49,0,0
2022-07-28,SKU005,Skirt,3,133.02,0,0
2022-07-29,SKU001,Shirt,7,102.35,0,0
2022-07-29,SKU002,Pants,5,122.82,0,0
2022-07-29,SKU003,Jacket,4,204.7,0,0
2022-07-29,SKU004,Dress,4,153.53,0,0
2022-07-29,SKU005,Skirt,3,133.06,0,0
2022-07-30,SKU001,Shirt,7,102.38,0,0
2022-07-30,SKU002,Pants,6,122.85,0,0
2022-07-30,SKU003,Jacket,5,204.76,0,0
2022-07-30,SKU004,Dress,5,153.57,0,0
2022-07-30,SKU005,Skirt,4,133.09,0,0
2022-07-31,SKU001,Shirt,7,102.4,0,0
2022-07-31,SKU002,Pants,8,122.89,0,0
2022-07-31,SKU003,Jacket,4,204.81,0,0
2022-07-31,SKU004,Dress,5,153.61,0,0
2022-07-31,SKU005,Skirt,3,133.13,0,0
2022-08-01,SKU001,Shirt,12,102.43,0,0
2022-08-01,SKU002,Pants,7,122.92,0,0
2022-08-01,SKU003,Jacket,4,204.86,0,0
2022-08-01,SKU004,Dress,6,153.65,0,0
2022-08-01,SKU005,Skirt,4,133.16,0,0
2022-08-02,SKU001,Shirt,10,102.46,0,0
2022-08-02,SKU002,Pants,8,122.95,0,0
2022-08-02,SKU003,Jacket,5,204.92,0,0
2022-08-02,SKU004,Dress,5,153.69,0,0
2022-08-02,SKU005,Skirt,4,133.2,0,0
2022-08-03,SKU001,Shirt,10,102.48,0,0
2022-08-03,SKU002,Pants,8,122.98,0,0
2022-08-03,SKU003,Jacket,5,204.97,0,0
2022-08-03,SKU004,Dress,7,153.73,0,0
2022-08-03,SKU005,Skirt,4,133.23,0,0
2022-08-04,SKU001,Shirt,11,102.51,0,0
2022-08-04,SKU002,Pants,8,123.01,0,0
2022-08-04,SKU003,Jacket,5,205.02,0,0
2022-08-04,SKU004,Dress,6,153.77,0,0
2022-08-04,SKU005,Skirt,4,133.27,0,0
2022-08-05,SKU001,Shirt,11,102.54,0,0
2022-08-05,SKU002,Pants,8,123.05,0,0
2022-08-05,SKU003,Jacket,6,205.08,0,0
2022-08-05,SKU004,Dress,7,153.81,0,0
2022-08-05,SKU005,Skirt,6,133.3,0,0
2022-08-06,SKU001,Shirt,13,102.57,0,0
2022-08-06,SKU002,Pants,11,123.08,0,0
2022-08-06,SKU003,Jacket,6,205.13,0,0
2022-08-06,SKU004,Dress,8,153.85,0,0
2022-08-06,SKU005,Skirt,6,133.33,0,0
2022-08-07,SKU001,Shirt,11,102.59,0,0
2022-08-07,SKU002,Pants,9,123.11,0,0
2022-08-07,SKU003,Jacket,7,205.18,0,0
2022-08-07,SKU004,Dress,7,153.89,0,0
2022-08-07,SKU005,Skirt,6,133.37,0,0
2022-08-08,SKU001,Shirt,9,102.62,0,0
2022-08-08,SKU002,Pants,9,123.14,0,0
2022-08-08,SKU003,Jacket,5,205.24,0,0
2022-08-08,SKU004,Dress,8,153.93,0,0
2022-08-08,SKU005,Skirt,4,133.4,0,0
2022-08-09,SKU001,Shirt,9,102.65,0,0
2022-08-09,SKU002,Pants,8,123.17,0,0
2022-08-09,SKU003,Jacket,6,205.29,0,0
2022-08-09,SKU004,Dress,8,153.97,0,0
2022-08-09,SKU005,Skirt,5,133.44,0,0
2022-08-10,SKU001,Shirt,11,102.67,0,0
2022-08-10,SKU002,Pants,8,123.21,0,0
2022-08-10,SKU003,Jacket,6,205.34,0,0
2022-08-10,SKU004,Dress,8,154.01,0,0
2022-08-10,SKU005,Skirt,5,133.47,0,0
2022-08-11,SKU001,Shirt,10,102.7,0,0
2022-08-11,SKU002,Pants,9,123.24,0,0
2022-08-11,SKU003,Jacket,6,205.4,0,0
2022-08-11,SKU004,Dress,6,154.05,0,0
2022-08-11,SKU005,Skirt,6,133.51,0,0
2022-08-12,SKU001,Shirt,10,102.73,0,0
2022-08-12,SKU002,Pants,9,123.27,0,0
2022-08-12,SKU003,Jacket,6,205.45,0,0
2022-08-12,SKU004,Dress,7,154.09,0,0
2022-08-12,SKU005,Skirt,5,133.54,0,0
2022-08-13,SKU001,Shirt,12,102.75,0,0
2022-08-13,SKU002,Pants,10,123.3,0,0
2022-08-13,SKU003,Jacket,7,205.51,0,0
